starting time: 24.38
Read 347 files
reduced frequency method
number of words in files: 12848612
removing most frequent words
removing numbers
removing english words
removing words with a relative frequency below:  15
--- 8912.098001 seconds ---

word                    r_freq      f_freq
arbeiderpartiet              18         42
arbeids                      62        211
arbeidsdeling                28         61
arbeidsdelinga               15         32
arbeidserfaring              17         63
arbeidsfelt                  19         59
arbeidsforhold               21         82
arbeidsformer                18         42
arbeidsgjevar                28        160
arbeidsgruppa                18         77
arbeidsgruppe                24         64
arbeidsinnsats               18         65
arbeidskraft                 56        299
arbeidsliv                   41        151
arbeidslivet                 83        394
arbeidsløysa                15         35
arbeidsløyse                29         72
arbeidsmarknad               16         39
arbeidsmarknaden             30        165
arbeidsmetodar               31         80
arbeidsmetode                15         27
arbeidsmetoden               15         26
arbeidsmiljø                23         63
arbeidsmåtar                32        111
arbeidsmåte                 19         52
arbeidsoppgåvene            27         66
arbeidsoppgåver             69        187
arbeidsplass                 44        100
arbeidsplassane              18         40
arbeidsplassar               56        159
arbeidsplassen               52        151
arbeidsprosessen             21         38
arbeidssituasjon             31         88
arbeidssituasjonen           22         89
arbeidsstad                  15         36
arbeidstakar                 25        399
arbeidstakarar               29        258
arbeidstid                   20         62
arbeidstida                  15         33
arbeidsvilkår               15        123
areal                        39        182
arealet                      24         68
arenaen                      44        202
arenaene                     18         50
arenaer                      78        197
argumenta                    82        207
argumentasjon               131        366
argumentasjonen             149        428
argumenter                   26         49
argumentera                  51        159
argumenterar                 47        157
argumenterast                25         48
argumentere                 152        391
argumenterer                235        606
argumentert                  96        208
argumenterte                 74        242
argumentet                  153        542
arild                        32         83
aristoteles                  42        176
arkeologi                    20         44
arkeologiske                 15         91
arket                        20         53
arkitektur                   20         75
arkiv                        46        185
arkivet                      26         54
armane                       31         88
armar                        16         29
armen                        22         44
arnold                       44        195
arrangementa                 17         57
arrestert                    23        103
arresterte                   18         43
arta                         20         37
artar                        34        116
arten                        20         42
arthur                       18         46
artig                        19         53
artiklane                    90        466
artiklar                    205        699
artikulasjon                 16         54
artikulere                   21         65
artikulert                   22         61
artistar                     20        140
artisten                     19        167
arv                          77        208
arva                         33         70
arve                         23         85
arven                        50        155
arvid                        17         73
asbjørn                     38        118
aschehoug                   145        430
ashgate                      15         42
asia                         24         56
aslak                        16         66
aspekt                      486       1151
aspekta                     131        301
aspekter                     19         36
aspektet                    222        524
assistanse                   30         99
assistent                    33        168
assistentar                  20        159
assosiasjonane               23         47
assosiasjonar               104        258
assosierast                  17         28
assosierer                   30         59
assosiert                    74        192
astrid                       34         84
asymmetrisk                  25         71
asymmetriske                 19         41
atferd                       36        122
atkinson                     15         48
atle                         21         57
atmosfære                   35         81
atmosfæren                  24         59
att                        1256       3212
atte                         17         75
atten                        17         35
attende                     352       1149
atter                        60        182
atterhald                    56        154
attraktiv                    21         42
attraktive                   36         74
attraktivt                   28         52
au                           46        325
auch                         20        120
auditiv                      22        112
auditive                     31        196
audmjuk                      16         34
audun                        21         53
auf                          52        618
aug                          20         64
auga                         72        178
auge                        164        341
augekast                     32         57
augene                       22         67
auget                        15         23
augneblink                   29         67
augneblinken                 33         73
augo                         53        134
auka                        990       2491
aukande                     297        679
aukar                       260        632
auke                        444       1198
auken                        51        131
auking                       16         31
aus                          25        121
aust                        117        443
austerrike                   25         75
austeuropa                   19         74
austin                       25         63
austlandet                   45        134
austlege                     28         57
austover                     15         35
australia                    27         95
autentisitet                 25        145
autentisk                    53        179
autentiske                   50        142
automatikk                   15         30
automatisert                 17         92
automatisk                  159        331
autonom                      29         91
autonome                     47        139
autonomi                     90        437
autonomt                     29         64
autoritative                 22         70
autoritet                   121        359
autoritetar                  29         53
autoriteten                  30         56
autoritær                   23         48
autoritære                  37        106
avansert                     42        112
avanserte                    48        103
avbilda                      17         49
avbrot                       18         47
avbroten                     17         35
avdekka                      57        162
avdekke                      93        234
avdekker                     19         48
avdekkje                     33         92
avdeling                     72        209
avdelinga                    36        114
avdelingane                  19         66
avdelingar                   39        129
avdi                         20        109
avdøde                      26        499
avgifter                     21         60
avgjer                      162        363
avgjera                      39         99
avgjerande                  824       1879
avgjerast                    38         77
avgjerd                      68        199
avgjerda                     80        242
avgjerdene                   38        123
avgjerder                   112        392
avgjere                     174        424
avgjersla                    33         73
avgjersle                    25         64
avgjerslene                  21         66
avgjersler                   57        198
avgjorde                     40         81
avgjort                      99        232
avgjørende                  43         92
avgrensa                    761       1574
avgrensande                  34         70
avgrensar                   116        209
avgrensast                   31         61
avgrense                    163        363
avgrensing                  173        376
avgrensinga                  58        116
avgrensingane                38         73
avgrensingar                137        311
avhandling                   87        191
avhandlinga                 163        811
avheng                       74        213
avhenge                      37         82
avhenger                     33         60
avhengigheit                 20         39
avhengigheita                15         35
avis                         63        304
avisa                       123        945
avisartiklar                 31         65
avisene                      77        448
aviser                      129        441
avkall                       26         58
avklara                      23         43
avklare                      42         99
avklaring                    45        103
avklart                      29         57
avkrefta                     20         40
avkrefte                     20         40
avløyst                     26         51
avrunda                      20         46
avsagt                       19        125
avsendar                     28         96
avsendaren                   21         65
avsett                       27        103
avskaffa                     24         65
avskrift                     22         61
avslag                       30         87
avslappa                     41         83
avslo                        15         27
avslutning                  167        317
avslutninga                  50         99
avslutningsvis               63        146
avsluttande                 131        264
avsluttar                    79        159
avsluttast                   20         38
avslutting                   23         53
avslått                     16         30
avsløre                     35         77
avslører                    45         97
avslørt                     28         61
avslørte                    16         34
avsnitt                     224        800
avsnitta                     60        154
avsnittet                   179        477
avspeglar                    15         30
avstand                     321        791
avstandar                    27         52
avstanden                   123        300
avstå                       27         57
avtala                       37        266
avtalane                     24        108
avtalar                      82        267
avtrykk                      15         47
avveging                     15         27
avvik                       169        712
avvika                       19         83
avvikande                    67        172
avviket                      29         99
avvikla                      21         49
avvisande                    28         54
avvise                       52        103
avviser                      65        145
avvising                     28         62
avvist                       80        171
avviste                      45         92
av”                        21         37
b1                           18         72
b2                           16         80
baade                        27        263
bach                         18        130
bakanforliggande             15         27
bakerst                      16         26
bakgrunnar                   19         44
bakgrunnsinformasjon         27         49
bakhovudet                   30         56
bakhtin                      36        347
bakke                        41        110
bakken                       86        202
bakover                      41         86
baksida                      26         69
bakteppe                     61        130
bakteppet                    23         41
bakteriar                    21         51
balanse                     108        242
balansegang                  20         43
balansen                     73        154
balansere                    41         85
balanserer                   21         39
balansert                    36         84
balkan                       18        140
baltimore                    23         49
banda                        78        242
bandet                       66        217
bandopptakar                 17         49
bandura                      17        101
bankar                       19         45
barbara                      24         67
barnas                       25         62
barndom                      46        152
barndomen                    32        102
barndommen                   35        101
barne                        74        250
barnehagane                  16        196
barnehagar                   35        182
barneskulen                  23        104
barnets                      48        313
barnevern                    21        288
barnevernet                  22        637
barrierar                    25        114
barriere                     25         70
barth                        18         93
barthes                      38        574
basen                        20         72
basera                       17         34
baserar                      41        100
basisen                      16         34
bastant                      16         30
bastante                     17         30
bateson                      15         68
bauman                       24        221
bb                           18        203
bbc                          21        385
bd                           35        223
bearbeida                    18         44
bearbeide                    22         42
bearbeiding                  42        116
bede                         24         54
beden                        18         27
bedne                        30         81
bedrifta                     26        280
befinn                       28         86
befinner                     30         50
befolkning                   42        130
befolkninga                 176        887
befolkningen                 16         36
befring                      83        483
begeistra                    18         38
begeistring                  20         37
begjær                      16         61
begrensa                     57        148
begrense                     19         38
begrenset                    21         37
begrensingar                 25         77
begrep                       70        251
begrepa                      19         88
begreper                     31         63
begrepet                     75        260
begrunna                     17         44
begrunne                     15         30
begynnelsen                  26         59
behalde                      59        129
behandlar                    54        132
behandlast                   43         82
behavior                     32         80
behavioral                   21         48
beherska                     20         34
beherskar                    28         55
beherske                     22         66
behøver                     26         50
bei                          17         52
bein                         50        120
beina                        42        108
beint                        21         51
beite                        16         71
bekostning                   43         87
bekreftande                  20         32
bekreftar                    28         77
bekymra                      44        111
bekymring                    75        228
bekymringar                  29         50
belastande                   15         32
belastning                   42        202
belastningar                 16         52
belegg                       39        139
belgia                       21         52
belyse                       93        279
belyser                      23         57
belyst                       49        114
beløp                       20         66
beløpet                     15         61
ben                          29         70
benestad                     17         57
bengt                        15         33
benjamin                     25        173
bennett                      21         82
bente                        28        177
bera                         40        144
berande                      37        106
berar                        22         50
berarar                      16         35
bere                         69        156
beredskap                    17         71
berekna                      36        164
berekningar                  16         40
berekraftig                  19         68
beretning                    20         54
berge                       110        597
bergen                      373       1284
bergens                      41        170
berger                       27        150
berit                        28         67
berkeley                     21         44
berlin                       62        183
bernt                        46        130
berre                      6643      12596
berte                        20        435
berømte                     19         31
berører                     15         35
berørt                      21         44
beskjed                      86        185
beskjedar                    28         87
beskjeden                    25         74
beskriva                     19         51
beskrivande                  29         74
beskrivast                   23         53
beskrivelse                  28         63
beskriving                   47        110
beskrivingar                 18         71
beskytta                     32        134
beskyttande                  16         54
beskyttar                    18         30
beskytte                     66        142
beskyttelse                  33         81
beslutninger                 27         62
bestandig                    15         28
bestemma                     34         91
bestemmande                  23         43
bestemmast                   15         49
bestemmelsen                 17         70
bestemmelser                 20         42
bestemming                   19         35
bestemor                     19         48
beståande                   58        134
besøke                      22         43
besøkt                      25        159
besøkte                     28         95
betala                       26         70
betalar                      26        146
betaling                     38         96
betegnelsen                  17         24
betinga                      33        102
betra                        82        198
betrakta                     31         65
betraktar                    22         53
betrakte                     25         57
betrakteleg                  19         34
betraktning                  42         97
betraktningar                36        114
betrar                       15         25
betre                      1845       3878
betring                      52        104
betydeleg                    96        264
betydelege                   26         70
betyding                    144        616
betydinga                    57        183
bevare                       63        151
bevaring                     18         49
bevart                       28        106
bevarte                      16         41
bevega                       36         84
bevegar                      24         52
bevege                       45        114
bevegelse                    42        100
beveger                      36         75
bevis                        89        314
bevise                       24         51
bevisst                     278        801
bevisste                     71        181
bevisstgjering               34         85
bevisstheit                  54        265
bevisstheita                 22         60
bevissthet                   26         72
bevist                       21         48
bi                           25         69
bibelen                      52        181
bibelske                     18         81
bibliografi                  19         46
bidrag                      327        844
bidraga                      46        142
bidraget                     28        135
bidragsytar                  21         43
bidragsytarane               15         41
bidragsytarar                30         67
bidreg                      142        402
bidrege                      74        162
bilane                       16         21
bilar                        25         54
bilaterale                   19         57
bileta                       85        384
bilete                      997       2666
biletet                     313        866
binda                        16         27
bindande                     48        194
binde                        46        104
bindeledd                    27         51
bindinga                     20         64
bindingar                    16         49
biografi                     29         71
biografisk                   19         69
biografiske                  24        120
biologi                      25         57
biologisk                    66        200
biologiske                   82        245
birgit                       18        139
birkeland                    21         70
bis                          16         45
biskop                       46        439
biskopen                     24        253
bistand                      42        213
bitar                        19         34
biten                        19         39
bjarne                       37         95
bjerke                       18        130
bjørke                      22         63
bjørset                     16        413
bl                           21         92
blackwell                    46        104
blad                         45        152
bladet                       31        163
blanda                      117        253
blandar                      44         97
blande                       52         95
blanding                    127        284
blandinga                    24         44
blandt                       26        126
blanke                       21         45
blikk                       232        547
blikket                     147        502
blinde                       31         70
blindern                     51         80
blive                        24         93
bliver                       36        113
blod                         54        201
blodet                       30         77
bloggar                      18        101
blokk                        20         46
blokker                      18         96
blom                         15         42
blå                         68        181
blått                       20         64
bm                           16        113
bod                          26         76
bodskap                      89        249
bodskapen                   117        338
bodø                        16         43
bokförlag                   15         32
bokmål                      86        664
boks                         23         71
bokstav                      59        454
bokstavane                   25        135
bokstavar                    56        235
bokstaveleg                  29         73
bokstaven                    15         41
bokstavleg                   15         30
bolkar                       16         35
bonde                        85        665
bonden                       44        305
bondens                      45       2224
bondevik                     15         52
bord                         50        121
bordet                       58        135
borg                         32        122
borgar                       33        116
borgarane                    50        205
borgarar                     58        197
borgaren                     15         38
borgarkrigen                 20         54
borgarleg                    30         87
borgarlege                   48        225
borgarskapet                 23         54
borge                        16        217
borger                       15         32
borgerlig                    15         37
borgerlige                   16         45
borna                       156       1040
bortetter                    21         54
bortfall                     22         44
borti                        30         63
bortimot                     30         59
bortsett                    115        237
boston                       34         83
bot                          26         66
botn                         66        139
botnar                       25         56
botnen                       49        144
bourdieu                     57        455
br                           21        103
brakt                        24         42
bransjen                     19        109
bratt                        20         59
braut                        95        233
brei                        156        310
breiare                     145        304
breidda                      41        125
breidde                      58        166
breidt                       17         34
breie                        64        168
breitt                      107        237
