starting time: 24.38
Read 347 files
reduced frequency method
number of words in files: 12848612
removing most frequent words
removing numbers
removing english words
removing words with a relative frequency below:  15
--- 8912.098001 seconds ---

word                    r_freq      f_freq
fornying                     39         87
fornærma                    18         86
fornøgd                     27         61
fornøgde                    18         49
forord                      158        272
forordet                     31         76
forordning                   21        288
forplikta                    72        148
forpliktande                 23         52
forpliktar                   33         73
forplikting                  26         62
forpliktingar                28        107
forrang                      26         67
forsamling                   17         75
forsamlinga                  26        150
forseinka                    18         65
forsikra                     28         53
forsikre                     26         49
forsikring                   25         93
forsiktig                    92        172
forsiktige                   38         84
forsinka                     16         29
forska                      100        200
forskar                     168        558
forskarane                   90        249
forskarar                   231        598
forskaren                   195        770
forskarrolla                 15         40
forske                       51        119
forsking                    856       2854
forskinga                   230        788
forskingsarbeid              28         59
forskingsarbeidet            23         62
forskingsdesign              39        111
forskingsetiske              29         76
forskingsfelt                27         43
forskingsfeltet              24         57
forskingsintervju            37         97
forskingsintervjuet          20         74
forskingsmetode              38        111
forskingsopplegg             19         43
forskingsprosessen           54        177
forskingsprosjekt            71        154
forskingsprosjektet          40        122
forskingsresultat            25         63
forskingsresultata           16         33
forskingsspørsmål          60        201
forskingsspørsmåla         49        160
forskingsspørsmålet         31        103
forskingstradisjon           16         27
forskjellane                 53        152
forskjellar                 115        339
forskjellege                 17        114
forskningsdepartementet         18         87
forskningsetiske             27         77
forskningsintervju           37         68
forskningsmetode             46         99
forskningsmetodologi         19         34
forskningsprosjekt           15         25
forskrift                    60        308
forskrifta                   29        173
forskriftene                 17         45
forskrifter                  52        118
forskyving                   20         46
forsoning                    23         80
forstand                    348        800
forsterka                   147        307
forsterkande                 24         59
forsterkar                   73        142
forsterke                    75        150
forsterking                  18         44
forstyrra                    42         85
forstyrrande                 41         95
forstyrrar                   15         26
forstyrre                    21         41
forstyrringar                24         47
forståast                  164        587
forståeleg                  84        202
forståelege                 30         62
forståelse                  91        235
forståelsen                 27         44
forståing                 1251       3282
forståinga                 382       1007
forståingane                20         42
forståingar                 71        197
forsvann                     70        161
forsvar                      96        248
forsvara                     30         82
forsvarar                    38        107
forsvarast                   30         61
forsvare                     97        207
forsvarer                    24         47
forsvaret                    39        108
forsvarleg                   65        147
forsvarte                    18         35
forsømt                     17         26
fortald                      34         85
fortalde                    158        640
fortare                      29         70
forteikn                     20         46
fortel                      993       3028
fortelja                     75        449
forteljande                  35        114
forteljar                    30        221
forteljaren                  50        612
fortelje                    290        795
forteljing                  148        783
forteljinga                 163       1010
forteljingane                48        278
forteljingar                123        538
fortelling                   18         47
fortellinger                 18         44
fortener                     77        137
forteneste                   16         37
fortent                      15         34
fortetta                     17         32
fortid                       90        209
fortida                     135        429
fortløpande                 39         78
fortolka                     30         68
fortolkande                  43        122
fortolkar                    32         64
fortolke                     29         65
fortolking                   80        191
fortolkinga                  27         63
fortolkingar                 32         67
fortolkning                  17         31
fortrengt                    16         26
fortruleg                    22         40
fortset                      31         79
fortsetje                    28         72
fortviling                   17         27
forureining                  28        153
forut                        51        122
forutan                      50        139
forutsatt                    15         26
forutset                     24         52
forutsetning                 38         84
forutsetninger               31         60
forutsetter                  25         52
forvalta                     33         65
forvaltar                    23         45
forvalte                     32         74
forvalting                   26        134
forvaltinga                  25        130
forvaltning                  62        282
forvaltninga                 49        275
forvaltningsorgan            18         48
forvekslast                  28         47
forventar                    99        239
forventast                   16         30
forventing                   37        103
forventingane                44        119
forventingar                 86        322
forventning                  55        174
forventninga                 30         62
forventningane               74        193
forventningar               173        501
forventninger                18         30
forverra                     24         42
forvirra                     30         53
forvirrande                  34         67
forvirring                   41         79
forårsaka                   26         52
forøvrig                    25         65
for”                       18         28
foss                         17        111
fot                          33         66
foten                        29         76
fotfeste                     36         70
fotnote                      41         90
fotografi                    43        474
fotografiet                  23        690
foucault                     39        304
fr                           45        151
fraa                         41       1012
fragmentert                  32         85
fragmenterte                 33         72
frakta                       22         44
framand                      85        175
framande                     98        284
framandgjerande              15         23
framandgjering               22         61
framandt                     28         60
framdrift                    23         63
framferd                     37         91
framfor                     502       1066
framføre                    46        110
framfører                   20         44
framføring                  37        114
framføringa                 30         99
framføringar                23         97
framført                    41        107
framførte                   15         30
framgang                     94        227
framgangen                   22         46
framgangsmåtar              35         73
framgangsmåte               87        199
framgangsmåten              69        141
framgår                     26        106
framhald                     25         83
framheva                    245        682
framhevar                   228        844
framheve                     79        191
framhever                    22         40
framheving                   16         33
framifrå                    22         35
framkalla                    24         53
framkallar                   15         32
framkalle                    22         45
framlagt                     18         37
framlegg                     95        385
framlegget                   35        205
framleis                   1056       2337
framme                       75        203
framom                       17         43
framover                    228        463
frampå                      15         31
framsett                     26         65
framsida                     34        138
framside                     17         36
framsteg                     42         83
framstegspartiet             15         48
framstilla                   30         74
framstillast                 15         32
framstille                   84        205
framstiller                 103        237
framstilling                313        739
framstillinga               275        789
framstillingane              40        127
framstillingar               91        293
framstilt                   219        558
framstilte                   52        124
framsto                      19         71
framstod                     24         60
framstå                    177        419
framståande                 31         61
framstår                   250        766
framtid                     125        306
framtida                    292        706
framtidig                    98        220
framtidige                  144        382
framtidsretta                17         28
framtoning                   27         56
framtredande                125        275
framvekst                    32         72
framveksten                  80        213
france                       31         76
francis                      36         96
frankfurt                    18         65
frankrike                    96        252
fransk                       55        161
franske                     111        256
franz                        20         74
frasar                       22         80
frase                        22        249
frasen                       16         90
fraser                       31         79
fred                        162        450
fredeleg                     17         39
freden                       21         59
fredrik                      66        219
fredrikstad                  26         73
freista                     256        780
freistande                   35         64
freistar                    161        508
freiste                      94        293
freistnad                    29         94
frekvens                     44        131
frekvensar                   17         56
frekvensen                   34         71
frelse                       22         69
fremfor                      19         37
fremja                      120        362
fremjar                      69        181
fremje                      140        405
fremma                       40        140
fremmar                      19         56
fremme                       84        251
fremmed                      19         36
fremmede                     19         45
fremmer                      16         37
fremst                      940       1904
fremste                      99        205
fremtid                      15         43
fremtiden                    23         42
french                       16         30
freud                        44        414
friare                       60        118
fridom                      291        936
fridomen                     62        185
friedrich                    32         94
frigjer                      16         29
frigjerande                  27         65
frigjere                     43         81
frigjering                   38        101
frigjeringa                  17         54
frigjort                     32         62
frihet                       42        109
friheten                     15         35
friluftsliv                  62       1612
friluftslivet                18        474
frist                        19         37
fristen                      24        105
fritak                       15        166
fritid                       77        565
fritida                      73        250
fritidsaktivitetar           22         47
frittståande                27         54
friviljug                    19         67
friviljuge                   15         33
frivillig                   167        440
frivillige                   59        272
frode                        22         86
frontane                     15         32
frontar                      15         37
fronten                      21         60
frukt                        31         69
fruktbar                     49         93
fruktbare                    46         83
fruktbart                    88        173
frustrasjon                  61        141
frustrasjonen                18         34
frustrerande                 26         56
frustrert                    26         66
frykt                       136        353
frykta                      106        279
fryktar                      31         67
frykte                       18         34
frÅ                         35        118
frå                      28921      54427
fråfall                     24         68
från                        35         93
fråsegn                     27         79
fråsegna                    21         86
fråsegner                   15         53
fråteken                    15         34
fråver                      38         83
fråverande                  98        272
fråveret                    39         88
fråvær                     42        114
fråværet                   19         50
frønes                      22        119
frøydis                     15         59
fuglar                       18         38
fuglseth                     17         62
fullføre                    32         58
fullført                    59        137
fullgod                      21         41
fullgodt                     18         30
fullmakt                     19         41
fullstendig                 309        648
fullstendige                 42         69
fullverdig                   35         64
fundamentale                 51        108
fundamentalt                 45         97
fundamentet                  46        100
fundert                      27         59
funderte                     15         28
fungera                      67        212
fungerande                   36         63
fungerar                     95        342
fungering                    22        134
funksjonane                  67        176
funksjonar                  171        425
funksjonell                  60        178
funksjonelle                 71        183
funksjonelt                  32         72
funksjonshemma               16         55
funn                        453       1369
funna                       385       1167
funnest                      16         29
furre                        17         65
fylde                        16         34
fyldig                       24         46
fyldige                      33         64
fylgde                       55        171
fylgja                       33        118
fylgjande                    81        330
fylgje                      135        576
fylgjer                     100        351
fylgt                        33         66
fylka                        16         95
fylke                        44        167
fylkeskommune                18         77
fylkesmannen                 25        149
fylket                       28         87
fyllast                      28         60
fyr                          30         93
fyre                         25        281
fyrst                       763       2197
fyrste                     1263       3962
fysikk                       16         36
fysiologiske                 26         62
fåtal                       32         67
færrast                     23         51
færraste                    28         45
fór                         16         68
för                         84        341
förlag                      24         61
fødd                        98        288
fødde                       50        136
føderale                    18        170
fødsel                      58        390
fødselen                    39        268
føla                        21         48
følelsar                    29        250
følgande                    33         92
følgd                       46        102
følgde                     143        341
følgelig                    16         33
følgja                      68        238
følgjande                  640       1661
følgjast                    24         50
følgje                    1496       3813
følgjeleg                   57        189
følgjene                    39        107
følgjer                    684       1663
følgt                       92        189
førande                     16         47
førar                       18         59
førast                      50         98
førde                       49        198
førebels                    67        141
førebilete                  58        176
førebu                      69        155
førebuande                  17         31
førebudd                    67        158
førebudde                   28         58
førebuing                   50        120
førebuinga                  22         36
førebur                     23         47
førebyggande                15         90
førebygge                   20         82
førebygging                 34        189
førebyggjande               20        140
førebyggje                  23         73
føredrag                    22         55
føregjekk                   91        217
føregå                     25         62
føregåande                128        286
føregår                   141        375
føregått                   34         72
førehand                   259        572
førekant                    21         45
førekjem                    95        247
førekome                    20         31
førekomme                   16         32
førekomst                   25         81
førekomstar                 17         51
førekomsten                 31        106
føreligg                    85        313
føreliggande                15         40
føreliggjande               15         61
føremon                     37        120
føremål                   212        577
føremåla                   22         50
føremålet                 231        684
føremålstenleg             36         92
føreord                     58        121
føreordet                   26        100
føresegn                    20         48
føresegna                   22        327
føresegnene                 17         72
føresegner                  15         50
føreseieleg                 19         50
føreset                    132        342
føresetnad                 340        777
føresetnadane               78        183
føresetnadar                43        117
føresetnaden                93        206
føresetnadene               70        173
føresetnader               203        534
føresett                    38        107
føresette                   55        180
føreslo                     22         70
føreslår                   35         68
føreslått                  25         75
førespurnad                 49        105
førespurnaden               15         32
førestelling                22         62
førestellinga               26         85
førestellingar              30        111
førestille                  28         56
førestilling                56        140
førestillinga               60        172
førestillingane             28         81
førestillingar              79        251
føreta                      26         61
føretak                     26        110
føretek                     18         31
føretok                     16         26
føretrekk                   26         59
føretrekte                  16         38
førforståing               41        198
førforståinga              20         59
føring                      21         34
føringane                   25         51
føringar                   199        538
førre                      288        700
førskulealder               17        205
førsteamanuensis            17         31
førstnemnde                 35         75
førti                       27         50
føtene                      17         55
føye                        22         41
føyer                       31         68
für                         38        176
gadamer                      28        172
gagn                         16         90
galdt                        53        200
galskap                      18         33
gamal                       131        383
gamaldags                    15         33
gamalt                       47        107
gammal                       76        213
gammalt                      35         65
gangar                       29         88
gapet                        21         48
garantere                    21         39
garantert                    29         54
garanti                      47         85
gard                         62        254
gardane                      37        177
gardar                       22        124
garde                        52        369
gardsbruk                    27        531
gary                         15         48
gass                         37        187
gata                         59        256
gatene                       21         73
gater                        17         32
ge                           33        164
gehør                       18        467
geir                         57        194
geistlege                    18        106
gen                          24         97
generaliserast               36         76
generalisere                 63        156
generalisering              109        316
generaliseringar             31         68
generalisert                 20         53
generaliserte                18         45
generalsekretær             17         46
generasjon                   81        235
generasjonane                27         67
generasjonar                 94        266
generasjonen                 46        125
generere                     24         50
genererer                    27         52
generert                     37        112
genetisk                     22         56
genetiske                    26         83
gennem                       17         43
genom                        20         58
genuin                       17         37
genuint                      22         41
geografi                     43        119
geografisk                  183        507
geografiske                 131        381
georg                        46        138
george                       63        201
german                       19         61
germany                      17         42
geschichte                   19         59
gestar                       26         67
gevinst                      31         86
gevinsten                    18         38
giddens                      30        272
gifta                        43        185
gifte                        62        430
gitar                        15        159
gj                           17         88
gje                        1438       3378
gjekk                      1682       4072
gjeldande                   485       1203
gjeldane                     18         53
gjeng                        47        173
gjengen                      17         41
gjengi                       29         62
gjengir                      18         31
gjengitt                     26         67
gjengjeld                    42         80
gjengse                      20         37
gjenkjenne                   28         55
gjenkjenneleg                15         24
gjenkjenner                  16         38
gjenkjenning                 23         64
gjenklang                    21         43
gjennomføra                 62        202
gjennomførast               91        200
gjennomførde                17         47
gjennomføring              173        451
gjennomføringa             118        285
gjennomgang                 205        460
gjennomgangen               125        300
gjennomgjekk                 15         25
gjennomgå                   49         92
gjennomgåande              174        375
gjennomgår                  43         78
gjennomgått                131        311
gjennomlesing                31         60
gjennomsiktig                16         34
gjennomslag                  92        271
gjennomslagskraft            26        109
gjennomsnitt                104        369
gjennomsnittet               65        180
gjennomsnittleg              85        349
gjennomsnittlege             36         81
gjennomsyra                  22         45
gjennomsyrer                 15         25
gjennomtenkt                 38         68
gjennomtenkte                15         25
gjenoppretta                 17         28
gjenopprette                 20         47
gjensidig                   238        587
gjensidige                   57        129
gjenspegla                   20         39
gjenspeglar                  39         80
gjenstand                   128        276
gjenstandar                  55        202
gjenstanden                  18         64
gjenstår                    21         37
gjenta                       53        123
gjentakande                  19         40
gjentaking                   36        152
gjentakingar                 17         41
gjentatt                     25         55
gjentatte                    25         42
gjentek                      48        108
gjenteke                     17         34
gjentekne                    51         97
gjentok                      26         54
gjer                       4892       9895
gjera                       721       2546
gjerast                     322        710
gjerde                       24         90
gjerdet                      16         54
gjere                      2563       5839
gjeremål                    28         53
gjerning                     21         58
gjev                       1396       3675
gjeva                        20        201
gjevast                      30         71
gjeve                       424       1120
gjeven                       69        192
gjevne                       71        185
gjøvik                      15         32
glas                         20         44
gli                          31         54
glidande                     30         52
glimt                        26         56
glipp                        61        116
glir                         38         82
globale                      68        231
globalisering                23         57
globalt                      32         78
gløymde                     19         44
gløyme                      54         98
gløymer                     41         82
gløymt                      51         93
gm                           19        365
goda                         20         52
goder                        22         39
godkjend                     40         90
godkjende                    42         93
godkjennast                  21         42
godkjenne                    28         82
godkjenner                   21         48
godkjenning                 118        343
godkjenninga                 15         90
godkjent                    103        246
godkjente                    23         57
godta                        86        204
godtar                       16         28
godtatt                      17         41
godtek                       49        102
godteke                      22         43
godtok                       42         94
goffman                      20        121
golvet                       33         96
gongane                      18         39
gongar                      187        549
gongen                      245        553
gongene                      20         50
gonger                      527       1285
google                       16         40
gott                         16        143
grada                        15         38
gradert                      18         54
gradvis                     231        500
gradvise                     19         30
grafisk                      36         98
grafiske                     31         87
gram                         24        208
grammatikk                   46        184
grammatikken                 23         81
grammatisk                   35        153
grammatiske                  45        248
gran                         18         77
granska                      39        141
granske                      23         61
gransking                    45        110
granskinga                   20        104
granskingar                  15         59
gras                         15         53
graset                       19         70
grav                         16         55
grava                        21         50
gravlagt                     17        112
greia                        25         54
greidd                       46        106
greidde                      55        159
greier                      116        293
grein                        23         43
greinene                     16         34
greiner                      20         57
greip                        28         56
greitt                      148        346
grensa                      206        526
grensar                      24         43
grense                      127        441
grenseland                   15         22
grenselandet                 18         32
grensene                    216        541
grenser                     331        831
grep                        169        371
grepa                        20         43
grepet                       46         91
grepstad                     19        322
gresk                        46        121
greske                       53        174
grete                        25         58
grev                         20         34
gripa                        31         66
gro                          56        186
grobotn                      31         56
grov                         46         99
grovt                        73        166
grund                        20         61
grundig                     254        495
grundigare                   60        130
grundige                     53         91
grunna                      272        828
grunnane                    146        348
grunnar                     476       1408
grunnbok                     19         49
grunngav                     19         43
grunngi                      20         53
grunngir                     23         52
grunngitt                    15         51
grunngje                     54         99
grunngjev                    60        134
grunngjeve                   50        100
grunngjeven                  19         36
grunngjeving                103        216
grunngjevinga                95        196
grunngjevingane              16         32
grunngjevingar               27         58
grunnhaldning                16         28
grunnlagt                    41        104
grunnleggande               250        768
grunnleggende                61        166
grunnleggjande              441       1206
grunnlov                     15         37
grunnlova                    41        288
grunnprinsipp                17         36
grunnskolen                  37        114
grunnskule                   25         87
grunnskulen                  54        250
grunntanken                  18         35
gruppeintervju               16         73
gruppere                     16         27
gruppering                   18         42
grupperingane                19         39
grupperingar                 50        104
grus                         15         52
gryande                      23         62
grå                         45        133
gråt                        16         38
gråte                       18         34
grått                       15         30
grøn                        24         79
grøndahl                    15         71
grøne                       35        107
grønmo                      36        130
grønt                       36         77
gudane                       16        270
gudbrandsdalen               22        240
gudmund                      20        110
gudrun                       22        362
guds                         78        653
guiden                       19         51
gul                          21         59
gule                         18         46
gundersen                    20         68
gunn                         21         50
gunnar                       87        277
gunstig                      74        166
gunstige                     31         75
gunvor                       15         36
guri                         30        242
guro                         19         48
gustav                       21         61
gutane                      100        686
gutar                       155        895
guten                        73        311
gyldendal                   230        815
gyldig                      113        252
gyldige                      70        141
gyldigheit                   34         78
gyldigheita                  18         34
gåande                      29         48
gåve                        22         58
gåver                       21         77
göteborg                    21         70
gør                         16         24
gøy                         36        125
gøymer                      18         31
gøymt                       17         27
haakon                       19         39
habermas                     41        294
habitus                      21        166
hadeland                     17         82
hage                         23         59
hagen                        72        252
hagtvet                      17        169
hald                        162        356
halda                       193        765
haldast                      78        173
halde                      1116       2330
halden                       56        134
haldepunkt                   47        101
haldne                       53        123
haldning                    322        816
haldninga                   135        311
haldningane                 127        390
haldningar                  433       1339
haldningsendring             15         27
haldt                        52        175
hallvard                     24        109
hals                         22         62
halsen                       30         85
halvdel                      91        219
halvdelen                    30         73
halvor                       15         53
halvorsen                    45        176
halvparten                  205        489
halvvegs                     24         37
hamar                        30        146
hamn                         19         44
hamna                        73        185
hamnar                       58        123
hamne                        20         42
handa                        91        341
handel                       90        362
handelen                     24         81
handfast                     16         26
handheva                     15         28
handheve                     16         33
handlande                    49        171
handlar                    1231       3093
handlefridom                 17         31
handlekraft                  20         34
handlinga                   246        861
handlingane                 163        408
handlingar                  548       1664
handlinger                   43         77
handlingsalternativ          18         41
handlingsmønster            30         70
handlingsplan                17         78
handlingsrom                 62        232
handlingsrommet              35        101
handsama                    140        370
handsamar                    42        105
handsamast                   31         63
handsame                     64        159
handsaming                   85        242
handsaminga                  51        172
handskrift                   22        115
handtera                     26         73
handtere                     90        252
handterer                    21         33
handtering                   44        101
handteringa                  16         60
handverk                     36         93
hanho                        59        185
hann                         21        505
hanna                        20        140
hanne                        40        137
hansen                      116        467
hanskast                     20         48
hanssen                      25         69
hansson                      23        245
han”                       17         29
harald                      109        943
hardare                      37         74
hardast                      20         36
harmonerer                   24         54
harmoni                      39        101
harmonisk                    46        174
harmoniske                   28        173
harriet                      16         29
harris                       20         82
harry                        17         45
harvard                      55        119
haug                         66        288
hauge                        39        132
haugen                       52        190
haust                        53        118
hausta                       25         55
hauste                       15         31
hausten                     239        638
hav                          47        129
havande                      15        547
havde                        26        131
havet                        62        218
hedmark                      36        133
hefte                        27         95
heftet                       30        202
heftig                       24         41
hege                         26        105
hegel                        20        315
hegemoni                     28         90
hegemoniet                   17         46
heidegger                    19        101
heidi                        28         88
heil                        148        272
heilag                       19         51
heilage                      50        318
heile                      3719       6937
heilskap                    323        824
heilskapeleg                 15         47
heilskapen                  134        337
heilskapleg                 190        454
heilskaplege                 47        122
heilskapsforståing          16         24
heilt                      2589       5121
heim                        247        690
heimane                      18         55
heimanfrå                   20         32
heimar                       28         55
heime                       398       1033
heimel                       42        189
heimen                      141        480
heimesida                    24         69
heimeside                    20         52
heimesider                   23         46
heimeverande                 16        126
heimla                       17         36
heimland                     18         59
heimlandet                   40        219
heimlege                     24         49
heimstaden                   35        179
heit                         15         31
heiter                      258        612
heitte                       57        162
hektisk                      21         47
helde                        16         33
heldig                       50         93
heldige                      15         26
heldigvis                    35         68
heldt                       390       1018
helen                        20         30
helene                       22         93
helge                        93        276
helhet                       29         52
helhetlig                    22         39
helland                      28        119
hellas                       29         61
helle                        38        161
hellevik                     31        154
hellige                      20         77
helsedirektoratet            26        161
helsemessige                 16         26
helsepersonell               27        244
helseproblem                 20         45
helsevesenet                 31        219
helsing                      38         80
helsinki                     15         31
heltar                       15         36
helten                       17         64
helvete                      21         67
hemma                        35         92
hemmande                     24         51
hemmar                       20         50
hemme                        22         52
hemmeleg                     26         65
hemmelege                    20         42
hemn                         16         37
henda                        41        254
hende                       240        571
hending                     133        355
hendinga                    108        306
hendingane                  128        360
hendingar                   356        985
hendt                        41         99
hendte                       32         81
hengande                     17         38
henhold                      25         60
henholdsvis                  21         48
hennar                      674       2366
henning                      29         66
henrik                       74        239
henriksen                    30        159
henry                        50        180
hensikt                      80        179
hensikta                     51        111
hensikten                    17         40
hensikter                    16         24
hensiktsmessig              111        280
hensiktsmessige              23         50
hentar                      124        234
hentast                      20         36
henvender                    16         31
henvist                      20         44
herbert                      27         53
heretter                     69        163
herifrå                     20         39
herman                       16         47
hermann                      15         52
hermeneutikk                 44        144
hermeneutikken               26         85
hermeneutisk                 53        190
hermeneutiske                42        178
hernes                       20        110
herr                         30        100
herre                        57        139
herredøme                   17         36
herren                       21         82
herskande                    16         38
herskar                      27         58
herunder                     37         87
her”                       19         37
hestar                       21        109
heterogen                    21         42
hev                          63       1070
heva                         62        134
hevar                        21         38
hevdar                      932       2526
hevdast                      40        114
heve                         55        116
hg                           16         36
hierarki                     41        100
hierarkiet                   33         78
hierarkisk                   67        180
hierarkiske                  42        106
